strategy,kill_frac,seed,coverage,detection,mission_time
stigmergy,0.25,201,0.7513935340022296,0.5333333333333333,-1
stigmergy,0.25,202,0.6502178538859054,0.7333333333333333,-1
stigmergy,0.25,203,0.681269648108711,0.6333333333333333,-1
stigmergy,0.25,204,0.5869940144060058,0.43333333333333335,-1
stigmergy,0.25,205,0.6704533928390304,0.7333333333333333,-1
stigmergy,0.25,206,0.7589457678661936,0.8333333333333334,-1
stigmergy,0.25,207,0.6270138818522647,0.7,-1
stigmergy,0.25,208,0.6821728995642039,0.7333333333333333,-1
stigmergy,0.25,209,0.6404983792544571,0.5666666666666667,-1
centralized,0.5,200,0.9230769230769231,1.0,659
centralized,0.5,201,0.9297658862876255,1.0,747
centralized,0.5,202,0.9262336609585571,1.0,443
centralized,0.5,203,0.987019572051516,1.0,679
centralized,0.5,204,0.8979405498630415,1.0,589
centralized,0.5,205,0.9919870169388376,1.0,746
centralized,0.5,206,0.7319817536746072,0.7333333333333333,-1
centralized,0.5,207,0.5934745161617185,0.7666666666666667,-1
centralized,0.5,208,0.771967163271511,0.8,-1
centralized,0.5,209,0.9110615883306321,1.0,538
decentralized,0.5,200,0.9542920847268673,0.9,-1
decentralized,0.5,201,0.9662511401641837,1.0,666
decentralized,0.5,202,0.9892592967879218,1.0,576
decentralized,0.5,203,0.892607240644965,1.0,559
decentralized,0.5,204,0.9799127523587299,1.0,610
decentralized,0.5,205,0.9998985698346688,1.0,705
decentralized,0.5,206,0.8933603649265078,0.8666666666666667,-1
decentralized,0.5,207,0.7427297598540885,0.7,-1
decentralized,0.5,208,0.9730414513023209,1.0,690
decentralized,0.5,209,0.9989870340356564,1.0,770
stigmergy,0.5,200,0.5010641532380663,0.5333333333333333,-1
stigmergy,0.5,201,0.46903820816864294,0.3333333333333333,-1
stigmergy,0.5,202,0.5089674739081974,0.4666666666666667,-1
stigmergy,0.5,203,0.4771321367001318,0.36666666666666664,-1
stigmergy,0.5,204,0.4371512630617835,0.26666666666666666,-1
stigmergy,0.5,205,0.5049193630185618,0.5666666666666667,-1
stigmergy,0.5,206,0.5187024835276229,0.5,-1
stigmergy,0.5,207,0.2620326274191914,0.4,-1
stigmergy,0.5,208,0.44248505118070336,0.26666666666666666,-1
stigmergy,0.5,209,0.5743517017828201,0.6,-1
